personId,name,birthYear,deathYear
81916,Tommy Wiseau,1968,
25113,Shelby Young,1992,
2884,Darren Dalton,1965,
82885,Zoe Lister-Jones,1982,
34027,Stefania Sandrelli,1946,
2975,Laurence Fishburne,1961,
141388,Dieter Berner,1944,
1052109,Harry Styles,1994,
656,Denholm Elliott,1922,1992
143079,Christian E. Christiansen,1972,
26088,Christopher Judge,1964,
56151,Peter Winther,,
2917,James Whale,1889,1957
1341053,James Gleason,1952,
555134,Nydia Caro,1950,
168638,Beatrice Winde,1924,2004
74284,Brendon Baerg,1998,
25249,Waise Lee,1959,
29020,Eric Christian Olsen,1977,
45211,Steve Bisley,1951,
27565,Kim Walker,1968,2001
214556,Indiana Evans,1990,
20795,Jean-Pierre Marielle,1932,
26482,Merry Clayton,1948,
4618,Steffi Kühnert,1963,
11278,Rupert Graves,1963,
54291,Gilles Lellouche,1972,
49609,Sorapong Chatree,1950,
100787,Patrick Barr,1908,1985
12642,John Neville,1925,2011
2550,Dan Shor,1956,
1159,Steven Bauer,1956,
17496,Jacques Audiard,1952,
48136,Gary Carlos Cervantes,1953,
61676,Candy Candido,1913,1999
55861,Kirk Acevedo,1971,
6487,Richard Roundtree,1942,
1930,Truman Capote,1924,1984
67382,Ross Bagley,1988,
91268,Ruben Fleischer,1974,
74298,Francis Glebas,,
55470,Dominic Cooper,1978,
130454,David Salles,1970,
16808,Matthias Schweighöfer,1981,
59311,Mark Hildreth,1978,
3783,Brigitte Bardot,1934,
6665,Åke Fridell,1919,1985
1261694,Barkhad Abdi,1985,
2178,Forest Whitaker,1961,
35527,Jean-François Balmer,1946,
20017,Margit Carstensen,1940,
4114,Sydney Greenstreet,1879,1954
150207,Jeffrey Hornaday,,
38405,John Corbett,1961,
20761,Sven-Ole Thorsen,1944,
58539,Stephanie Roth Haberle,1963,
41734,Brian Davies,1938,
57669,Natalie Imbruglia,1975,
79124,Karen David,1979,
137618,Giorgio Serafini,1962,
123632,David Doyle,1929,1997
11290,Stanislav Ianevski,1985,
6407,Marley Shelton,1974,
112129,Diego Cataño,1990,
116065,Masahiko Murata,,
16558,John McLiam,1918,1994
145529,Jim Jordan,1896,1988
65594,John Michael McDonagh,,
116431,David A.R. White,1970,
20810,Joely Richardson,1965,
99,Amanda Plummer,1957,
590709,Trude Berliner,1903,1977
111518,Devon Graye,1987,
2557,Richard Romanus,1943,
1024722,Annalise Basso,1998,
52052,Jessica Simpson,1980,
31439,Bryan Forbes,1926,
80777,Cedric Pendleton,1973,
13821,Fritz Feld,1900,1993
142319,Caco Ciocler,1971,
39066,James Villiers,1930,1998
35779,Boman Irani,1959,
8552,Alexandrea Owens,1988,
9279,Nancy Lenehan,1953,
143263,Marcus Lyle Brown,1970,
107515,Raúl Esparza,1970,
30512,Edgar Buchanan,1903,1979
53203,Laurent Gamelon,1960,
60878,Warren Kole,1977,
75465,Lewis Arquette,1935,2001
131934,Bre Blair,1980,
17414,Jill Talley,1962,
58210,"Ernie Reyes, Jr.",1972,
5531,Kiran Shah,1956,
94018,Meisa Kuroki,1988,
98458,Russ Bender,1910,1969
64751,Mathieu Demy,1972,
123791,Elaine Tan,1979,
25911,Cecilia Suárez,1971,
58294,George Armitage,,
62105,Kerry Condon,1983,
35159,Laraine Newman,1952,
228196,Thierry Godard,1967,
33286,Matthew Settle,1969,
228780,Francis Lalanne,1958,
41420,Lisa Edelstein,1966,
30158,Jameson Thomas,1888,1939
122503,Liu Yifei,1987,
204629,Bryce Robinson,1999,
60451,Brian Matthews,1953,
94608,Nancy Bardawil,,
658,Alfred Molina,1953,
963818,Troy Baker,1976,
